key,dev_en
monster_AoLoong_descriptionKey,"Tired of being a New-Year-Parade Dragon, Ao Loong has decided to break away from his chains and start his own adventure on this land full of monsters."
monster_ArchKnight_descriptionKey,"Behold the defender of light!  This apparition is rumoured to have some very, very powerful connection in the netherworlds. If you're lucky enough to have this Knight saviour appear before you - you'll be truly blessed in battle!"
monster_Arnu_descriptionKey,The poisonous sweat that Arnu produces causes hallucinations and is so powerful that it can even affect himself. He has to clean himself frequently to stay in control.
monster_Aurinia_descriptionKey,"Aurinia belongs to a dynasty of druids. She is the last remaining member, but also the most powerful. She may have a big sword, but her strongest weapon is her wisdom."
monster_Beefcake_descriptionKey,"The rocks are alive! The Beefcake is the most rocking, rolling and hardy monster in the land. Its thick rock shell protects it from most attacks."
monster_Blesstle_descriptionKey,"The Blesstle, the Water Realm's ambassadors of light. These shy and gentle creatures swoop gently from sky to water, water to sky with ease. Their shells come with a free golden paint job."
monster_Bloomskips_descriptionKey,"Bloomskips feel at home when popping out of dark, tight spaces like pipes! Just hope that you aren't a plumber or he's coming for you!"
monster_Bonbon_descriptionKey,"Legends tell of the greatest monster in the world, a mythical muscled beast with unpierceable fur and gigantic claws! Perhaps that isn't Bonbon, she is just a tribute, she tries her hardest to be scary though."
monster_Boneticore_descriptionKey,"The threat of the Boneticore is not in his jaws, but in his tail. Boneticore's tail is also his weak spot. Only the most experienced hunters have survived an encounter with this dangerous beast."
monster_Bumblesnout_descriptionKey,"A swamp dweller with no known predators. Bumblesnouts' main quality is his patience. He knows that he does not possess the strongest attacks, but the longer you face him, the more dangerous he becomes."
monster_Crux_descriptionKey,"The perfect combination between metal and a plant. Crux has the best of both elements. He can heal his partners with his Nature power, but he can also injure the enemies with his dangerous metal roots."
monster_Cthulhu_descriptionKey,"Hard to pronounce, harder to kill. The almighty Great Old One is awoken. The worst nightmares of all the inhabitants of the New Kingdoms have come true. Iä iä Cthulhu fhtagn."
monster_DanFelino_descriptionKey,"And it’s a last-minute touchdown! The Monster City Legends win the Superbowl! All thanks to our local hero, Dan Felino, who saved the day!"
monster_Darknubis_descriptionKey,"Before, he weighed the hearts of those that would enter the afterlife. Now, he prefers helping his foes reach the afterlife quicker."
monster_Darkzgul_descriptionKey,This dark wraith is one of the servants of pure evil. His arcane knowledge of dreams and ghostly claws make him a terrible rival. He can’t be killed by a man.
monster_Dendrosaur_descriptionKey,Even nature has a dark side. These powerful lizard creatures will stomp and chomp any who threaten their habitats. They may be lesser than their Tyrannoking relatives – but command just as much respect.
monster_Djinn_descriptionKey,"He will grant you any wish, as long as that wish is to rain fiery destruction down upon your foes! You have never had a friend like him before! When Djinn isn’t battling other monsters, he enjoys some karaoke."
monster_Dolphchamp_descriptionKey,"At home in harsh environments, Dolphchamp never knows when to give up! Magically enhanced to have the ultimate close combat strength, he doesn’t pull his punches when in a tight spot."
monster_Dommeath_descriptionKey,"Dommeath is a skilled mage and he has mastered the ability to open magic portals. Added to his Metal powers, he is able to perform devastating combos."
monster_Donaturtle_descriptionKey,"Slow but steady, this elder fighter has learned to maximize his movements. Knowing what to do before having to do it is a great advantage. He hates anchovies."
monster_DragonianBeast_descriptionKey,This beast is related to Dragons; it shares their appetite and their powerful capabilities. Missing wings? No problem; it can roll!
monster_Drazza_descriptionKey,"Draza was a decorated soldier, and the commander of the Cheatkingz. He didn't want to leave his army, but he lost a bet and now he's here in Monster Legends. You know lost bets must be honored!"
monster_DropElemental_descriptionKey,"A single drop is almost insignificant. But thousands falling one after one, can form a mountain. This monster can manipulate the drops to hurt his enemies or use the healthy properties of the water for the advantage of his team."
monster_Duchess_descriptionKey,"Rockin' royalty! The Duchess of Disaster, the Queen of Pain! Beware of flying magic rocks because that's her thing."
monster_DustyFear_descriptionKey,Oh dear... Teddy Fear has last-minute doubts about getting married and he hasn't shown up for his own wedding. His bride has gone mad! How dare he leave her? She's a charming garden rose!
monster_ElderSporeling_descriptionKey,"What do you get when a spore falls on a volcano, and starts to grow? Answer: a very big and angry mushroom."
monster_Electrex_descriptionKey,"Hailing from a far away land where he fought for the amusement of others. Tired of a life where others gain the fame while he picks up bruises, his arrival states that he is formidable in his own right!"
monster_Erpham_descriptionKey,"He has always prefered the rebels; they fight for a cause and not for an order. He’s not a warrior, but his knowledge of nature and magic makes him an excellent companion that will never let you down!"
monster_Esmelter_descriptionKey,"Blazing metal is always a dangerous thing, and Esmelter is pure Metal and Fire. He has the ability to smelt as many arms as he needs, making him a deadly foe in combat."
monster_Esthirel_descriptionKey,She used to protect the weak by healing and taking care of them. But the hidden evil forces provoked her to rise and fight against injustice. She's the light that will lead the struggling to victory.
monster_Fayemelina_descriptionKey,"The most fun, charming and beautiful monster of them all. Everything is better with Fayemelina around. Beware of her firey spirit; if you cross her you will feel the pain."
monster_Firanda_descriptionKey,"A young Firanda has little control over her flames and can be a menace in the forest, suffering exile and rejection. However, once grown, Firanda helps to protect everything she loves with strength and wisdom."
monster_Firekong_descriptionKey,"Born deep below the great Shimo volcano, Firekong has an incredibly dense body structure, which gives him immense resilience. His love for heat sometimes takes him a little too close to dragons!"
monster_Firelequin_descriptionKey,"""Who is hiding behind that mask?"" That's a common question at the Carnival, but are you sure you want to know the answer?"
monster_FireLion_descriptionKey,Possessing a mane of white-hot hell fire and more than just a sting in his tail – the Fire Lion is a creature of mythic awesomeness! The Fire Lion will make fast work of anyone foolish enough to challenge him.
monster_Firesaur_descriptionKey,Possessing a mane of white-hot hellfire and more than just a sting in his tail – the Firesaur is a creature of mythic awesomeness! The Firesaur will make fast work of anyone foolish enough to challenge him.
monster_Firetaur_descriptionKey,"This nightmarish creature, although clumsy and slow, performs the most dangerous attacks of all the monsters in the world. A terrifying opponent but also a tremendous ally to have on your side."
monster_Firus_descriptionKey,"Mix the power of nature, the warmth of Christmas and the rage of not getting the desired present and you'll have a fighting Christmas Tree!"
monster_Flawless_descriptionKey,"Free love and crystal healing baby! Flawless is the naive, hip hipity hipster with a carefree attitude and goodwill to all monsters."
